Artist,# Of Movies They Wrote Songs For.
Rajesh Roshan, 2
Vangelis, 1
Jatin-Lalit, 2
Shankar-Ehsaan-Loy, 5
Anu Malik, 5
Uttam Singh, 1
Jatin Lalit, 1
Sandesh Shandilya, 1
Aadesh Shrivastava, 1
A. R. Rahman, 6
Anand Raj Anand, 2
Ismail Darbar, 1
Monty Sharma, 1
Nadeem-Shravan, 1
Vishal-Shekhar, 2
Lucky Ali, 1
Shankar–Ehsaan–Loy, 2
Madan Mohan, 1
Sajid-Wajid, 4
Salim-Sulaiman, 9
Pritam, 9
Shantanu Moitra, 2
Himesh Reshammiya, 2
Mithoon, 1
Sandeep Chowta, 1
Pyarelal Ramprasad Sharma, 1
Ranjit Barot, 1
Vishal–Shekhar, 1
Salim–Sulaiman, 1
